FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL
Iuri Alcantara,69.0,135.0,71.0,Southpaw,1980-08-04,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad
Ildemar Alcantara,74.0,185.0,78.0,Orthodox,1982-11-18,http://ufcstats.com/fighter-details/7c6e87729e824ef4
Alfonso Alcarez,63.0,145.0,,,1970-06-10,http://ufcstats.com/fighter-details/1e38bba6738b7b10
Gilbert Aldana,73.0,250.0,,Orthodox,1977-08-25,http://ufcstats.com/fighter-details/d26934530dc5b248
Irene Aldana,69.0,135.0,68.0,Orthodox,1988-03-26,http://ufcstats.com/fighter-details/578ef12674df1e6a
Hector Aldana,71.0,170.0,72.0,Orthodox,1988-08-17,http://ufcstats.com/fighter-details/c487223b0289bda9
Jose Alday,67.0,135.0,68.0,Orthodox,1991-09-14,http://ufcstats.com/fighter-details/7460ddef986d3144
Jose Aldo,67.0,135.0,70.0,Orthodox,1986-09-09,http://ufcstats.com/fighter-details/d0f3959b4a9747e6
JJ Aldrich,65.0,125.0,67.0,Southpaw,1992-09-29,http://ufcstats.com/fighter-details/6fd953151d981979
Irina Alekseeva,68.0,135.0,67.0,Orthodox,1990-06-27,http://ufcstats.com/fighter-details/103e2e33a60683e1
Talita Alencar,61.0,115.0,58.0,Orthodox,1990-10-17,http://ufcstats.com/fighter-details/d35298b6df168456
Jim Alers,69.0,145.0,71.0,Orthodox,1986-10-14,http://ufcstats.com/fighter-details/fe5a9547479396ab
John Alessio,70.0,155.0,72.0,Orthodox,1979-07-05,http://ufcstats.com/fighter-details/7a15f3694c5cbc02
Houston Alexander,72.0,205.0,72.0,Orthodox,1972-03-22,http://ufcstats.com/fighter-details/0541480fbf719d86
Kenneth Alexander,69.0,155.0,,Orthodox,1977-09-25,http://ufcstats.com/fighter-details/8fd76e1b49c00ae2
Lucas Alexander,71.0,145.0,73.0,Orthodox,1995-07-28,http://ufcstats.com/fighter-details/11583163f45c7b31
Marcio Alexandre Junior,72.0,185.0,75.0,Southpaw,1989-05-05,http://ufcstats.com/fighter-details/d53482bef23235ba
Olaf Alfonso,74.0,170.0,,Orthodox,1974-08-06,http://ufcstats.com/fighter-details/b757c73f443d4fca
Pablo Alfonso,68.0,145.0,,,1983-05-09,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1
Levi Alford,,,,,,http://ufcstats.com/fighter-details/41b34b7f11f6d085
Bill Algeo,72.0,145.0,73.0,Switch,1989-06-09,http://ufcstats.com/fighter-details/9abc648e76c4493a
Royce Alger,70.0,199.0,,Orthodox,,http://ufcstats.com/fighter-details/669a3cb6e394f515
Amir Aliakbari,75.0,250.0,,,1984-06-10,http://ufcstats.com/fighter-details/e17770faae3ca54c
Sultan Aliev,71.0,170.0,74.0,Orthodox,1984-09-17,http://ufcstats.com/fighter-details/e70de1859b7ee78e
Nurullo Aliev,70.0,155.0,72.0,Orthodox,2000-12-08,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9
Ikram Aliskerov,72.0,185.0,76.0,Southpaw,1992-12-07,http://ufcstats.com/fighter-details/b07aed698fba8624
Leon Aliu,72.0,185.0,74.0,Orthodox,1989-07-14,http://ufcstats.com/fighter-details/6db394bf6c3b017c
John Allan,73.0,205.0,75.0,Orthodox,1993-02-22,http://ufcstats.com/fighter-details/6ebe96a116e79e52
George Allen,74.0,205.0,,Open Stance,1967-01-13,http://ufcstats.com/fighter-details/1e13936d708bcff7
Arnold Allen,68.0,145.0,70.0,Southpaw,1994-01-22,http://ufcstats.com/fighter-details/040a74bb0a465c54
Brendan Allen,74.0,185.0,75.0,Orthodox,1995-12-28,http://ufcstats.com/fighter-details/2f181c0467965b98
Daniel Allen,72.0,155.0,75.0,Southpaw,1992-08-10,http://ufcstats.com/fighter-details/adf9a901308fb8e3
Ben Alloway,71.0,170.0,76.0,Orthodox,1981-02-19,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb
Asu Almabayev,64.0,125.0,65.0,Orthodox,1994-01-25,http://ufcstats.com/fighter-details/8d3273573b85be09
Bekzat Almakhan,67.0,135.0,68.0,Orthodox,1997-10-08,http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1
John Dave Almanza,67.0,125.0,67.0,Southpaw,2004-03-22,http://ufcstats.com/fighter-details/088aa1b19b2dc14a
Ricardo Almeida,72.0,170.0,74.0,Orthodox,1976-11-29,http://ufcstats.com/fighter-details/91186547a7f3f758
Magno Almeida,72.0,155.0,,,1985-06-06,http://ufcstats.com/fighter-details/d615d6a10a4704cd
Thomas Almeida,67.0,145.0,70.0,Southpaw,1991-07-31,http://ufcstats.com/fighter-details/2b074403b7c6cdb4
Ericka Almeida,66.0,115.0,,Orthodox,1989-03-05,http://ufcstats.com/fighter-details/67a992d4cff22466
Estefani Almeida,64.0,125.0,,Orthodox,1988-10-17,http://ufcstats.com/fighter-details/f16ddfa31236efed
Jailton Almeida,75.0,205.0,79.0,Orthodox,1991-06-26,http://ufcstats.com/fighter-details/41e83a89929d1327
Lucas Almeida,71.0,145.0,71.0,Orthodox,1991-01-31,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41
Cesar Almeida,73.0,185.0,74.0,Orthodox,1988-03-28,http://ufcstats.com/fighter-details/64d47ef881a437a4
Mauricio Alonso,74.0,170.0,,,1980-02-27,http://ufcstats.com/fighter-details/c6bf75775b278ed8
Sarah Alpar,64.0,135.0,63.0,Southpaw,1991-06-01,http://ufcstats.com/fighter-details/49b130de1da2e1bf
Ali AlQaisi,66.0,135.0,68.0,Orthodox,1990-09-23,http://ufcstats.com/fighter-details/e87a13e02c01331d
Rico Altamirano,70.0,170.0,,,,http://ufcstats.com/fighter-details/c61b49cec6abd6b9
Victor Altamirano,68.0,125.0,70.0,Switch,1991-01-23,http://ufcstats.com/fighter-details/dc7927cd622676a7
Mike Altman,70.0,185.0,,Orthodox,,http://ufcstats.com/fighter-details/c11036da9162cb5f
Patricia Alujas,64.0,115.0,64.0,Orthodox,1996-05-08,http://ufcstats.com/fighter-details/430c533614d45813
Sean Alvarez,72.0,235.0,,Orthodox,1971-07-14,http://ufcstats.com/fighter-details/e741536153227386
Eddie Alvarez,69.0,155.0,69.0,Orthodox,1984-01-11,http://ufcstats.com/fighter-details/33a331684283900f
Jaime Alvarez,68.0,125.0,69.0,Orthodox,1988-03-08,http://ufcstats.com/fighter-details/4438482bd1d5a029
Joel Alvarez,75.0,155.0,77.0,Orthodox,1993-03-02,http://ufcstats.com/fighter-details/58bbef3770bb2dfc
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f
Anthony Alves,,,,,,http://ufcstats.com/fighter-details/bd92cf5da5413d2a
Amilcar Alves,72.0,170.0,,Southpaw,1988-08-08,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc
Warlley Alves,71.0,185.0,72.0,Orthodox,1991-01-04,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f
Rafael Alves,68.0,155.0,68.0,Orthodox,1990-11-14,http://ufcstats.com/fighter-details/029afd138865d20a
Sam Alvey,74.0,185.0,75.0,Southpaw,1986-05-06,http://ufcstats.com/fighter-details/d156513a19acf856
Christopher Alvidrez,72.0,170.0,74.0,Orthodox,1996-12-27,http://ufcstats.com/fighter-details/f4abf9aeda861283
Mahamed Aly,74.0,205.0,78.0,Orthodox,1994-01-11,http://ufcstats.com/fighter-details/86c1441676af2c73
Andre Amado,72.0,154.0,,Orthodox,,http://ufcstats.com/fighter-details/20821819c401ced8
Adlan Amagov,74.0,170.0,76.0,Orthodox,1986-10-30,http://ufcstats.com/fighter-details/1e327b281ef6a745
Maiara Amanajas dos Santos,65.0,115.0,,Southpaw,1987-07-11,http://ufcstats.com/fighter-details/247fbbfafea60bb1
Chris Amarante,,185.0,,,,http://ufcstats.com/fighter-details/ee0b69e307c857e5
Jimmy Ambriz,74.0,315.0,,Southpaw,1970-01-26,http://ufcstats.com/fighter-details/c912f676692c353a
JJ Ambrose,70.0,170.0,,Orthodox,,http://ufcstats.com/fighter-details/d562b12b8fe88336
Alen Amedovski,70.0,185.0,74.0,Orthodox,1988-04-06,http://ufcstats.com/fighter-details/70fa1c64a2c439ef
Hyder Amil,69.0,145.0,70.0,Switch,1990-05-28,http://ufcstats.com/fighter-details/41cc71cbf210e0fe
Hamid Amiri,,145.0,,,2003-06-15,http://ufcstats.com/fighter-details/6c40705cf6c0d7e2
Makwan Amirkhani,70.0,145.0,72.0,Southpaw,1988-11-08,http://ufcstats.com/fighter-details/87a1dc546b1c5caf
Jaqueline Amorim,63.0,115.0,68.0,Orthodox,1995-06-24,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08
Bertrand Amoussou,68.0,190.0,,Orthodox,,http://ufcstats.com/fighter-details/53adf5b845d91e4a
Karl Amoussou,71.0,185.0,,Orthodox,1985-11-21,http://ufcstats.com/fighter-details/23a8c33869bf5392
Eryk Anders,73.0,185.0,75.0,Southpaw,1987-04-21,http://ufcstats.com/fighter-details/cad24459b28592ca
Matt Andersen,74.0,230.0,,Southpaw,1971-05-29,http://ufcstats.com/fighter-details/8738eacd62e82a32
Andy Anderson,66.0,240.0,,,1974-07-16,http://ufcstats.com/fighter-details/9199e0735b83dd32
Lowell Anderson,66.0,160.0,,Orthodox,,http://ufcstats.com/fighter-details/1ffc38f67785797b
Corey Anderson,75.0,205.0,79.0,Orthodox,1989-09-22,http://ufcstats.com/fighter-details/5e4eec08896c9423
Derek Anderson,72.0,155.0,,,1990-02-02,http://ufcstats.com/fighter-details/19ba965651486013
Megan Anderson,72.0,145.0,72.0,Orthodox,1990-02-11,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1
Liam Anderson,75.0,185.0,75.0,Orthodox,1995-01-13,http://ufcstats.com/fighter-details/b03a0c78ca45facf
Tatsuya Ando,64.0,145.0,68.0,Southpaw,1990-04-26,http://ufcstats.com/fighter-details/17615148dd4be6f6
Alex Andrade,71.0,200.0,,Orthodox,1974-05-14,http://ufcstats.com/fighter-details/1562b12763cc8d67
Jessica Andrade,61.0,115.0,62.0,Orthodox,1991-09-25,http://ufcstats.com/fighter-details/6a1901c62ab3870f
Viscardi Andrade,71.0,170.0,75.0,Orthodox,1984-03-08,http://ufcstats.com/fighter-details/d221ee27afc7a60e
Jermaine Andre,67.0,200.0,,Orthodox,,http://ufcstats.com/fighter-details/9bad58fa651d6196
Fellipe Andrew,,,,,1994-10-24,http://ufcstats.com/fighter-details/7977fb0fd9c5955d
Dylan Andrews,73.0,185.0,74.0,Switch,1979-11-15,http://ufcstats.com/fighter-details/00debc804e2b1cd4
Reese Andy,72.0,205.0,,Orthodox,1973-03-31,http://ufcstats.com/fighter-details/46e2ca71fd5089cb
Angga,67.0,145.0,68.0,Orthodox,1989-01-13,http://ufcstats.com/fighter-details/d6a3e131ad4ba064
Julius Anglickas,75.0,205.0,,Orthodox,1991-07-23,http://ufcstats.com/fighter-details/e20ad078a7d63361
Collin Anglin,69.0,145.0,71.0,Orthodox,1993-02-20,http://ufcstats.com/fighter-details/047a91d3d9c79b05
Chad Anheliger,66.0,135.0,64.0,Orthodox,1986-12-01,http://ufcstats.com/fighter-details/c7c39e2fb70248b3
Yoji Anjo,71.0,205.0,,Orthodox,1967-03-28,http://ufcstats.com/fighter-details/e06fd1260ac865a7
Magomed Ankalaev,75.0,205.0,75.0,Orthodox,1992-06-02,http://ufcstats.com/fighter-details/d802174b0c0c1f4e
Gadzhimurad Antigulov,71.0,205.0,70.0,Orthodox,1987-02-09,http://ufcstats.com/fighter-details/af997f7611673880
Adam Antolin,65.0,125.0,63.0,Orthodox,1982-02-28,http://ufcstats.com/fighter-details/25b31165758402dd
Angelo Antonio,,205.0,,Orthodox,,http://ufcstats.com/fighter-details/dbd198f780286aca
Vanilto Antunes,72.0,170.0,72.0,Orthodox,1994-12-28,http://ufcstats.com/fighter-details/cc49ada1ea955b13
Azunna Anyanwu,73.0,251.0,,Orthodox,1981-08-05,http://ufcstats.com/fighter-details/78d48d3874dacafd
Shinsho Anzai,67.0,170.0,70.0,Orthodox,1985-12-01,http://ufcstats.com/fighter-details/4665f9f909cd7214
Jin Aoi,66.0,145.0,68.0,Orthodox,1997-01-21,http://ufcstats.com/fighter-details/031da10a00c8ccd4
Shinya Aoki,71.0,154.0,,Southpaw,1983-05-09,http://ufcstats.com/fighter-details/79ded75550efc139
Aoriqileng,67.0,135.0,69.0,Orthodox,1993-06-25,http://ufcstats.com/fighter-details/7d420039bbfe7c1a
Josh Appelt,70.0,255.0,,Southpaw,1983-06-19,http://ufcstats.com/fighter-details/0c1a04afca64e38f
Erik Apple,72.0,170.0,,Orthodox,1977-08-26,http://ufcstats.com/fighter-details/1ccff7f0cfdf85eb
Kenji Arai,70.0,145.0,,Southpaw,1979-10-05,http://ufcstats.com/fighter-details/269d103c96a4c3a5
Romie Aram,70.0,170.0,,Orthodox,1977-12-02,http://ufcstats.com/fighter-details/73ef22f25d0f70e2
Felipe Arantes,68.0,135.0,73.0,Orthodox,1988-02-09,http://ufcstats.com/fighter-details/71002dbc1743b9a7
Igor Araujo,73.0,170.0,77.0,Orthodox,1980-12-06,http://ufcstats.com/fighter-details/dbea8c1cb327ab3d
Viviane Araujo,64.0,125.0,68.0,Orthodox,1986-11-21,http://ufcstats.com/fighter-details/36541f1e6c5d4955
Julio Arce,67.0,145.0,70.0,Southpaw,1989-10-27,http://ufcstats.com/fighter-details/1291edf2d566a71a
Art Arciniega,68.0,145.0,,,1981-10-15,http://ufcstats.com/fighter-details/d25e39e74efb0a77
Alice Ardelean,63.0,115.0,62.0,Orthodox,1992-04-19,http://ufcstats.com/fighter-details/87f8699fdcc2c404
Tristan Arenal,,155.0,,,,http://ufcstats.com/fighter-details/9c9455912d917e4e
Gabriel Arges,,170.0,,,1993-01-29,http://ufcstats.com/fighter-details/db3c4a884d704efe
Dan Argueta,67.0,135.0,68.0,Southpaw,1993-08-13,http://ufcstats.com/fighter-details/e4ba58725825412d
Reza Arianto,,155.0,,,,http://ufcstats.com/fighter-details/90063913321e7670
Hashem Arkhagha,74.0,185.0,75.0,Orthodox,1989-09-11,http://ufcstats.com/fighter-details/9a7ffa80766caa51
Andrei Arlovski,75.0,240.0,77.0,Orthodox,1979-02-04,http://ufcstats.com/fighter-details/3738e68d2261e60f
Garrett Armfield,66.0,135.0,70.0,Orthodox,1996-10-09,http://ufcstats.com/fighter-details/1effd880e1f1bb30
Joey Armstrong,,,,,,http://ufcstats.com/fighter-details/30ad2050273d016a
Austin Arnett,72.0,145.0,72.0,Orthodox,1991-10-22,http://ufcstats.com/fighter-details/bf0e700106d00e55
Ricardo Arona,71.0,205.0,,Orthodox,1978-07-17,http://ufcstats.com/fighter-details/05fbfe628658c538
Eli Aronov,70.0,185.0,72.0,Orthodox,1996-06-06,http://ufcstats.com/fighter-details/a90c200c3fbb22c4
Chalid Arrab,71.0,205.0,,Orthodox,1975-05-28,http://ufcstats.com/fighter-details/770b9d4813c25902
Akbarh Arreola,70.0,155.0,71.0,Southpaw,1983-01-14,http://ufcstats.com/fighter-details/c136b2a8852da5bd
Matt Arroyo,70.0,170.0,72.0,Orthodox,1982-09-01,http://ufcstats.com/fighter-details/de62052b2ede65ba
Antonio Arroyo,75.0,185.0,73.0,Orthodox,1989-07-01,http://ufcstats.com/fighter-details/61fb8098ccf81c7f
Gilles Arsene,69.0,190.0,,Southpaw,,http://ufcstats.com/fighter-details/2dea80c069847321
Veta Arteaga,67.0,125.0,,,,http://ufcstats.com/fighter-details/91e3388e69060e69
Cesar Arzamendia,71.0,155.0,,Orthodox,1991-01-31,http://ufcstats.com/fighter-details/49f78022126bf4a4
Kai Asakura,68.0,125.0,69.0,Orthodox,1993-10-31,http://ufcstats.com/fighter-details/d33da8a3d82bdb62
Teddy Ash,73.0,185.0,73.0,Switch,1989-12-27,http://ufcstats.com/fighter-details/a373085066dbfb54
Arman Ashimov,66.0,125.0,,,1992-01-14,http://ufcstats.com/fighter-details/d26a0988c9dc9886
Yanal Ashmouz,69.0,155.0,69.0,Orthodox,1995-03-31,http://ufcstats.com/fighter-details/c739c2995a275314
Asjabharan,66.0,135.0,,,1992-07-31,http://ufcstats.com/fighter-details/8be9deb7d6b36354
Askar Askar,67.0,145.0,69.0,Orthodox,1994-08-19,http://ufcstats.com/fighter-details/2abc414136504554
Askar Askarov,66.0,125.0,67.0,Orthodox,1992-10-09,http://ufcstats.com/fighter-details/b1d19449397541dc
Cyril Asker,72.0,247.0,74.0,Orthodox,1985-12-24,http://ufcstats.com/fighter-details/9be6020024133293
Khusein Askhabov,68.0,145.0,69.0,Orthodox,1995-02-13,http://ufcstats.com/fighter-details/5c10da56d712ac9c
Scott Askham,75.0,185.0,75.0,Southpaw,1988-05-20,http://ufcstats.com/fighter-details/06827d70c53ff0d9
Ben Askren,71.0,170.0,73.0,Orthodox,1984-07-18,http://ufcstats.com/fighter-details/0b31f87be71ebbb1
Ibo Aslan,75.0,205.0,77.0,Orthodox,1996-04-23,http://ufcstats.com/fighter-details/6e8f1bcdda94ff45
Tom Aspinall,77.0,256.0,78.0,Orthodox,1993-04-11,http://ufcstats.com/fighter-details/399afbabc02376b5
Steven Asplund,77.0,261.0,78.0,Orthodox,1998-07-16,http://ufcstats.com/fighter-details/e56cee1ad697db04
Bruno Assis,74.0,185.0,,Orthodox,1992-05-23,http://ufcstats.com/fighter-details/ff222167cce02919
Junior Assuncao,69.0,145.0,72.0,Orthodox,1981-06-24,http://ufcstats.com/fighter-details/d0d7160824278840
Raphael Assuncao,65.0,135.0,66.0,Orthodox,1982-07-19,http://ufcstats.com/fighter-details/2f13e4020cea5b38
Michael Aswell,68.0,145.0,69.0,Orthodox,2000-09-27,http://ufcstats.com/fighter-details/01c9e4013afce141
Bazigit Atajev,73.0,230.0,,Orthodox,,http://ufcstats.com/fighter-details/fd7acf42bd6e7e95
Rich Attonito,70.0,170.0,72.0,Orthodox,1977-06-16,http://ufcstats.com/fighter-details/210935fd21670f6d
Olivier Aubin-Mercier,69.0,155.0,70.0,Southpaw,1989-02-23,http://ufcstats.com/fighter-details/55ee431411ccf07a
Pat Audinwood,72.0,155.0,,Orthodox,1986-04-16,http://ufcstats.com/fighter-details/196ed28337adc630
Jose Augusto,75.0,251.0,,,1992-03-28,http://ufcstats.com/fighter-details/4d3b08ab127c7585
Marcus Aurelio,70.0,155.0,74.0,Orthodox,1973-08-18,http://ufcstats.com/fighter-details/04643fd03d9159cc
David Avellan,69.0,185.0,,Orthodox,,http://ufcstats.com/fighter-details/956dcac65e7b34d6
Blas Avena,72.0,170.0,74.0,Orthodox,1983-06-30,http://ufcstats.com/fighter-details/8753e125f4499816
Levi Avera,73.0,170.0,,,1982-05-17,http://ufcstats.com/fighter-details/ba5c6eeb8ef45f5c
Anthony Avila,67.0,145.0,,,1988-12-29,http://ufcstats.com/fighter-details/033d19259f589457
Chris Avila,70.0,145.0,,Orthodox,1993-01-16,http://ufcstats.com/fighter-details/4665cbf36b08193b
Julia Avila,67.0,135.0,68.0,Orthodox,1988-05-11,http://ufcstats.com/fighter-details/86d9dbe1bfcbade7
Saad Awad,71.0,155.0,,,1983-06-07,http://ufcstats.com/fighter-details/da603332ad41f165
Javy Ayala,73.0,265.0,,,1988-08-20,http://ufcstats.com/fighter-details/26387c19f32dda0f
Jessin Ayari,72.0,155.0,73.0,Orthodox,1992-05-31,http://ufcstats.com/fighter-details/6eaec40f724852f4
Abu Azaitar,69.0,185.0,76.0,Orthodox,1986-03-10,http://ufcstats.com/fighter-details/46d0a888d87d91ac
Ottman Azaitar,68.0,155.0,71.0,Switch,1990-02-20,http://ufcstats.com/fighter-details/ee18ff42063174df
Luiz Azeredo,69.0,154.0,,Orthodox,1976-06-10,http://ufcstats.com/fighter-details/063649e21bc9d6d5
Luciano Azevedo,75.0,161.0,,Orthodox,1981-06-25,http://ufcstats.com/fighter-details/9bcfb40dbcd50568
Hunter Azure,68.0,145.0,69.0,Orthodox,1992-03-02,http://ufcstats.com/fighter-details/2af2f2e26c4c0402
Niklas Backstrom,73.0,145.0,,Orthodox,1989-08-22,http://ufcstats.com/fighter-details/39cc64bf0a269db9
Seth Baczynski,75.0,170.0,75.0,Orthodox,1981-10-26,http://ufcstats.com/fighter-details/fd5b6598a3b70c0a
Abdul Azeem Badakhshi,,145.0,,,,http://ufcstats.com/fighter-details/968764372c49eab6
Ryan Bader,74.0,205.0,74.0,Orthodox,1983-06-07,http://ufcstats.com/fighter-details/c0ab242c40decc55
Izabela Badurek,65.0,115.0,,Orthodox,1991-07-11,http://ufcstats.com/fighter-details/4fcf6e0c4e0e6664
Miguel Baeza,74.0,170.0,74.0,Orthodox,1992-08-23,http://ufcstats.com/fighter-details/82d4c957649faf9b
Ali Bagautinov,64.0,125.0,65.0,Orthodox,1985-06-10,http://ufcstats.com/fighter-details/3dd92ff9fb0412b3
Mehdi Baghdad,73.0,155.0,,Orthodox,1985-04-13,http://ufcstats.com/fighter-details/e4d2564ea0e34e2b
Melsik Baghdasaryan,69.0,145.0,70.0,Southpaw,1992-01-28,http://ufcstats.com/fighter-details/a52bc1e62cf0b7c6
